12:19:12.593 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
12:39:05.831 [ApplicationImpl pooled thread 549] INFO  com.browserstack.utils.Helpers - true
12:39:05.832 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:40:17.913 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - testng
12:40:17.914 [ApplicationImpl pooled thread 549] INFO  com.browserstack.utils.Helpers - true
12:40:17.914 [ApplicationImpl pooled thread 549] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:55:44.161 [ApplicationImpl pooled thread 571] INFO  c.b.l.BrowserStackRunExtension - testng
12:55:44.162 [ApplicationImpl pooled thread 571] INFO  com.browserstack.utils.Helpers - true
12:55:44.164 [ApplicationImpl pooled thread 571] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:00:50.205 [ApplicationImpl pooled thread 574] INFO  c.b.l.BrowserStackRunExtension - testng
13:00:50.206 [ApplicationImpl pooled thread 574] INFO  com.browserstack.utils.Helpers - true
13:00:50.206 [ApplicationImpl pooled thread 574] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:05:58.982 [ApplicationImpl pooled thread 579] INFO  c.b.l.BrowserStackRunExtension - testng
13:05:58.982 [ApplicationImpl pooled thread 579] INFO  com.browserstack.utils.Helpers - true
13:05:58.982 [ApplicationImpl pooled thread 579] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:46:14.404 [ApplicationImpl pooled thread 599] INFO  c.b.l.BrowserStackRunExtension - testng
13:46:14.405 [ApplicationImpl pooled thread 599] INFO  com.browserstack.utils.Helpers - true
13:46:14.405 [ApplicationImpl pooled thread 599] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:55:37.525 [ApplicationImpl pooled thread 604] INFO  c.b.l.BrowserStackRunExtension - testng
